leaderboard_version,product,interval,run_label,seed,timesteps,learning_rate,gamma,ent_coef,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,binary_actions,min_hold_bars,use_cooldown_obs,bars_per_year,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_btc,test_alpha_vs_btc,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
1,BTC-USD,1h,btc-baseline-v1,3,80000,0.0003,0.99,0.01,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,50.42023825645447,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-041937Z_btc-baseline-v1_seed3_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,3,80000,0.0003,0.99,0.02,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,51.4734480381012,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042028Z_btc-baseline-v1_seed3_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,3,80000,0.0003,0.99,0.05,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,49.13333988189697,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042118Z_btc-baseline-v1_seed3_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,7,80000,0.0003,0.99,0.01,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,49.30368232727051,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042207Z_btc-baseline-v1_seed7_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,7,80000,0.0003,0.99,0.02,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,51.01784014701843,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042258Z_btc-baseline-v1_seed7_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,7,80000,0.0003,0.99,0.05,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,51.23479104042053,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042350Z_btc-baseline-v1_seed7_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,13,80000,0.0003,0.99,0.01,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,51.0837836265564,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042441Z_btc-baseline-v1_seed13_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,13,80000,0.0003,0.99,0.02,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,50.96037435531616,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042532Z_btc-baseline-v1_seed13_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,13,80000,0.0003,0.99,0.05,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,50.92404794692993,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042623Z_btc-baseline-v1_seed13_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
1,BTC-USD,1h,btc-baseline-v1,21,80000,0.0003,0.99,0.01,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.05,1.0,0,1,6,0,8760,0.5440768409818569,0.0,0,0,0.0,0.0,0.0,0.4672358591248666,0.0,0,0,0.0,0.0,0.0,0.1560505595734841,0.289925651782441,0.0,55.98405861854553,-0.0002729416099222,-1.2787314424859335,0.0,0.0,0.0,-0.0002729416099222,0.0,0.0,0.0,0.0,-0.0003266680680012,-1.5304398985859873,0.0,0.0,0.0,-0.0003266680680012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-042717Z_btc-baseline-v1_seed21_1h.zip,0.0,0.0,5,inf,1,-0.0210074348217559
