leaderboard_version,product,interval,run_label,seed,timesteps,learning_rate,gamma,ent_coef,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,binary_actions,min_hold_bars,use_cooldown_obs,bars_per_year,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_btc,test_alpha_vs_btc,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
1,BTC-USD,1h,btc-minhold-12,13,40000,0.0003,0.99,0.02,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,12,0,8760,0.3528281750266809,0.5100446428571429,896,2249,0.480042689434365,0.5140062249888839,0.126744475341503,0.4356456776947705,0.4898550724637681,1035,1690,0.3607257203842049,0.4857988165680473,-0.2227884996533844,0.1135809768026899,0.0110000389878479,0.4345730839935372,19.934468030929565,0.0012783859361324,5.989238110780441,-8.289651946483073e-06,1.5156117199899108e-05,0.0,-0.0001650556554908,0.0007854855923159,0.0,-0.0108751931398867,0.1087519313988679,-0.0333734654982763,-156.3546858594246,-6.763107765901528e-05,-5.025539261849883e-05,0.0,-0.000180682425622,0.0005891141942369,0.0,-0.0270522015538249,0.2705220155382494,-0.0424695827707941,-0.5556089171817208,-0.5235925624922207,-0.1375427213362834,-0.278925612794593,-3.044398510482388,-2.1308975277226248,-0.3135095896711295,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-065116Z_btc-minhold-12_seed13_1h.zip,-0.2176004180846065,0.1249164971514281,5,0.5740636817290427,0,0.4289229725553628
1,BTC-USD,1h,btc-minhold-12,3,40000,0.0003,0.99,0.01,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,12,0,8760,0.3180362860192102,0.5079479768786127,1384,3146,0.671504802561366,0.5082644628099173,0.0121837672522231,0.399786552828175,0.4968152866242038,1413,2431,0.5188900747065102,0.490744549568079,-0.1852355812059199,0.0629734759214044,-0.0083968310895531,0.4088900807327262,20.953485250473022,-0.0055488057848294,-25.99615510192581,-1.9377998782939043e-05,1.3144024339494507e-05,0.0,-0.0001029161511321,0.0010843116328708,0.0,-0.0129382357695552,0.1293823576955529,-0.0327365592880162,-153.37078026435597,-7.25160666780614e-05,-4.754918224397971e-05,0.0,-0.000134349758387,0.0008367129135538,0.0,-0.0281560762222446,0.2815607622224461,-0.0930770836520796,-1.055319552074518,-1.169790806153531,-0.1898134451750514,-0.2983224828719941,-2.72748248048188,-2.317007990556508,-0.3253093750642782,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-064855Z_btc-minhold-12_seed3_1h.zip,-0.2100898343951135,0.1256533397699463,5,0.5980933829174787,0,0.4015128292818756
1,BTC-USD,4h,btc-4h-baseline-v1,7,40000,0.0003,0.99,0.05,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,3,0,2190,0.3564102564102564,0.5142857142857142,805,1165,0.9957264957264957,0.5107296137339056,-0.148984030995021,0.35580204778157,0.4797136038186158,838,1112,0.9488054607508533,0.49010791366906475,-0.3353900650473942,-0.07023255641349013,-0.08082570725550575,0.3805649350640246,19.783571004867554,-0.02122334045734038,-24.831308335088245,-0.00020983890416466364,-5.786293295338078e-05,0.0,-1.146619164798462e-07,0.005008547008547008,0.0,-0.01621427333279478,0.1621427333279478,-0.05632949670802768,-66.01817014180844,-0.00037715638228904495,-0.00022233844045086847,0.0,-2.4657467116091217e-05,0.004982935153583618,0.0,-0.028683578364549985,0.2868357836454999,-0.2287107157059992,-1.9970685742964114,-2.5727666761526664,-0.31155300818075904,-0.37170482393840953,-2.846632035796993,-3.299601552295986,-0.3819016658419898,-0.15847815929250908,-0.6557176540655242,-0.8292000435573891,-0.3448529519004314,-0.2908791166829038,-1.2216583081657666,-1.6642224264597871,-0.40099260394204217,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-065944Z_btc-4h-baseline-v1_seed7_4h.zip,-0.12655162789257443,0.1738085835069441,5,1.373420369230529,1,0.35701955512281386
1,BTC-USD,4h,btc-4h-baseline-v1,7,40000,0.0003,0.99,0.02,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,3,0,2190,0.3564102564102564,0.5142857142857142,805,1165,0.9957264957264957,0.5107296137339056,-0.148984030995021,0.3626279863481229,0.48405466970387245,878,1167,0.9957337883959044,0.493573264781491,-0.29736807441547797,-0.10175063105758975,-0.12264722481989632,0.3805649350640246,20.198599100112915,-0.01576094654529787,-18.440307457998507,-0.00023094996282928813,-8.635577849128861e-05,0.0,-1.146619164798462e-07,0.004717948717948717,0.0,-0.017228097315582176,0.17228097315582178,-0.05087737805681242,-59.62828708258415,-0.00041815721687155614,-0.0002592779083881656,0.0,-7.567745510788237e-07,0.004999999999999999,0.0,-0.0303902920637035,0.303902920637035,-0.2602287903500988,-1.4821653384950608,-1.8865403993629,-0.37158119996937045,-0.4135263415028001,-2.275592840737239,-3.0057250623687026,-0.45452259628113323,-0.15847815929250908,-0.6557176540655242,-0.8292000435573891,-0.3448529519004314,-0.2908791166829038,-1.2216583081657666,-1.6642224264597871,-0.40099260394204217,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-065924Z_btc-4h-baseline-v1_seed7_4h.zip,-0.11894722976619118,0.16287520223923213,5,1.3693063937629153,1,0.35309559641531374
1,BTC-USD,4h,btc-4h-baseline-v1,7,40000,0.0003,0.99,0.01,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,3,0,2190,0.3564102564102564,0.5142857142857142,805,1165,0.9957264957264957,0.5107296137339056,-0.148984030995021,0.3626279863481229,0.48405466970387245,878,1167,0.9957337883959044,0.493573264781491,-0.29736807441547797,-0.11341408423342858,-0.12837618198388379,0.3805649350640246,19.14292860031128,-0.017982804410514534,-21.039881160302006,-0.00024352223295820468,-0.00010456702885644878,0.0,-1.146619164798462e-07,0.004700854700854701,0.0,-0.017491484075463283,0.17491484075463282,-0.05237788818356409,-61.38688495113711,-0.0004263232607706055,-0.00026745766447053136,0.0,-7.567745510788237e-07,0.004999999999999999,0.0,-0.03060607747246409,0.3060607747246409,-0.27189224352593766,-1.5342441850097912,-1.934711045178405,-0.3752185593339744,-0.41925529866678757,-2.3136852395524774,-3.0499048447961252,-0.45985108228310645,-0.15847815929250908,-0.6557176540655242,-0.8292000435573891,-0.3448529519004314,-0.2908791166829038,-1.2216583081657666,-1.6642224264597871,-0.40099260394204217,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-065904Z_btc-4h-baseline-v1_seed7_4h.zip,-0.05947361488309559,0.13298704574624495,5,2.23606797749979,1,0.34385508486154626
1,BTC-USD,4h,btc-4h-baseline-v1,42,40000,0.0003,0.99,0.02,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,3,0,2190,0.3564102564102564,0.5142857142857142,805,1165,0.9957264957264957,0.5107296137339056,-0.148984030995021,0.3626279863481229,0.48405466970387245,878,1167,0.9957337883959044,0.493573264781491,-0.29736807441547797,-0.12007478422015327,-0.12932867595306996,0.3805649350640246,21.74583601951599,-0.018289305835036303,-21.398487826992476,-0.00024989298876140986,-0.00011761737999053103,0.0,-1.146619164798462e-07,0.0043760683760683755,0.0,-0.0172522960936711,0.172522960936711,-0.05114610792468181,-59.943238487727086,-0.0004264017983497964,-0.00026775348314941975,0.0,-7.567745510788237e-07,0.004999999999999999,0.0,-0.030600431740826516,0.30600431740826517,-0.27855294351266235,-1.5337835339624588,-1.9307826572929336,-0.3890787957998836,-0.42020779263597374,-2.2739877292842148,-3.0313213743963816,-0.46334706481812704,-0.15847815929250908,-0.6557176540655242,-0.8292000435573891,-0.3448529519004314,-0.2908791166829038,-1.2216583081657666,-1.6642224264597871,-0.40099260394204217,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-070217Z_btc-4h-baseline-v1_seed42_4h.zip,-0.11894722976619118,0.16287520223923213,5,1.3693063937629153,1,0.3524274513019964
1,BTC-USD,4h,btc-4h-baseline-v1,13,40000,0.0003,0.99,0.05,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,3,0,2190,0.3564102564102564,0.5142857142857142,805,1165,0.9957264957264957,0.5107296137339056,-0.148984030995021,0.3626279863481229,0.48405466970387245,878,1167,0.9957337883959044,0.493573264781491,-0.29736807441547797,-0.11451394129847103,-0.12904020865947918,0.3805649350640246,18.396883010864258,-0.016754695660196207,-19.60299392242956,-0.00024292374835146248,-0.00011103169851265741,0.0,-1.146619164798462e-07,0.004358974358974359,0.0,-0.016636335408702192,0.1663633540870219,-0.05108187416300481,-59.86795651904164,-0.0004259780585962116,-0.00026724126461490023,0.0,-7.567745510788237e-07,0.004999999999999999,0.0,-0.03059406508037142,0.30594065080371424,-0.2729921005909801,-1.4807033342893186,-1.8576235261087861,-0.37641549082923265,-0.41991932534238297,-2.2717424184677664,-3.028053300272516,-0.46308006085042397,-0.15847815929250908,-0.6557176540655242,-0.8292000435573891,-0.3448529519004314,-0.2908791166829038,-1.2216583081657666,-1.6642224264597871,-0.40099260394204217,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-070040Z_btc-4h-baseline-v1_seed13_4h.zip,-0.12655162789257443,0.1738085835069441,5,1.373420369230529,1,0.3524151582766793
1,BTC-USD,1h,btc-minhold-12,3,40000,0.0003,0.99,0.02,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,12,0,8760,0.2307363927427961,0.5030502111684655,2131,4671,0.9970117395944504,0.5076000856347677,-0.151564773243645,0.2616862326574173,0.4915526950925181,2486,4671,0.9970117395944504,0.4936844358809676,-0.2884045302565493,-0.1197042871668694,-0.1071107291857056,0.373492176625934,20.03212666511536,-0.0143566604881729,-67.26095438709034,-6.284405724532786e-05,-1.6636752978358662e-05,0.0,-2.1450191529716308e-08,0.0015410885805763,0.0,-0.0186022311996516,0.1860223119965161,-0.0333462733464255,-156.22729062800371,-9.898408279026724e-05,-5.304160165324587e-05,0.0,-4.611870640585212e-08,0.0015410885805763,0.0,-0.030235372535255,0.3023537253525504,-0.2757548467403535,-1.6958564244531575,-2.2074790412482903,-0.3715258356248875,-0.3970363809681466,-2.1854037670766635,-2.820278249282796,-0.4425062631766409,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-064915Z_btc-minhold-12_seed3_1h.zip,-0.2176004180846065,0.1249164971514281,5,0.5740636817290427,0,0.3564655910862756
1,BTC-USD,1h,btc-minhold-12,7,40000,0.0003,0.99,0.01,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,12,0,8760,0.2307363927427961,0.5030502111684655,2131,4671,0.9970117395944504,0.5076000856347677,-0.151564773243645,0.2616862326574173,0.4915526950925181,2486,4671,0.9970117395944504,0.4936844358809676,-0.2884045302565493,-0.134798965874621,-0.120569595715162,0.373492176625934,19.898771286010746,-0.0167532172146997,-78.48882265086824,-6.830561710142289e-05,-2.2304964469348422e-05,0.0,-2.1450191529716308e-08,0.0015410885805763,0.0,-0.0190212291475573,0.1902122914755733,-0.0344662593159873,-161.47442489540052,-0.0001051260556655,-5.903438474266576e-05,0.0,-4.611870640585212e-08,0.0015410885805763,0.0,-0.0308911624119222,0.3089116241192228,-0.2908495254481051,-2.011610119910892,-2.6142829654245405,-0.3759551322850191,-0.410495247497603,-2.513933572329238,-3.1442248703116062,-0.4439659341464284,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-064956Z_btc-minhold-12_seed7_1h.zip,-0.2100898343951135,0.1256533397699463,5,0.5980933829174787,0,0.3548794074214456
1,BTC-USD,1h,btc-minhold-12,7,40000,0.0003,0.99,0.02,1,0.002,1,0.006,0.0,next_bar,0.0,0.0,0.1,sharpe,100,1e-06,0.0,1.0,0.35,0.1,0.1,0.02,0.0,1.0,0,1,12,0,8760,0.2307363927427961,0.5030502111684655,2131,4671,0.9970117395944504,0.5076000856347677,-0.151564773243645,0.2616862326574173,0.4915526950925181,2486,4671,0.9970117395944504,0.4936844358809676,-0.2884045302565493,-0.1430519052929245,-0.1359825489793318,0.373492176625934,19.94305944442749,-0.0163033045281005,-76.38098171415089,-6.947629476767762e-05,-2.3329668094241035e-05,0.0,-2.1450191529716308e-08,0.0015410885805763,0.0,-0.0193382408115679,0.1933824081156794,-0.0363333166961387,-170.22158872141017,-0.0001090693218138,-6.350981554120845e-05,0.0,-4.611870640585212e-08,0.0015410885805763,0.0,-0.0314441504595929,0.3144415045959295,-0.2991024648664087,-1.8210871458445208,-2.344706787407385,-0.392255402825905,-0.4259082007617728,-2.358204463227818,-3.0300564859228647,-0.4684091411298557,-0.1560505595734841,-0.6265592826520198,-0.8000211943397625,-0.3488935141708251,-0.289925651782441,-1.1537634388003155,-1.5190930559166371,-0.4042549444843211,D:\code\agentic-development\coinbase-rl-bot\data\experiment_snapshots\model_20260726-065016Z_btc-minhold-12_seed7_1h.zip,-0.2176004180846065,0.1249164971514281,5,0.5740636817290427,0,0.3535784091069129
